merchant_id,organization,eligible,activation_status,migration_id
PIN-A066,Merchant cohort 066,True,activated,
PIN-A067,Merchant cohort 067,True,activated,
PIN-A068,Merchant cohort 068,True,activated,
PIN-A069,Merchant cohort 069,True,activated,
PIN-A070,Merchant cohort 070,True,activated,
PIN-A071,Merchant cohort 071,True,activated,
PIN-A072,Merchant cohort 072,True,activated,
PIN-A073,Merchant cohort 073,True,activated,
PIN-A074,Merchant cohort 074,True,activated,
PIN-A075,Merchant cohort 075,True,activated,
PIN-A076,Merchant cohort 076,True,activated,
PIN-A077,Merchant cohort 077,True,activated,
PIN-A078,Merchant cohort 078,True,activated,
PIN-A079,Merchant cohort 079,True,activated,
PIN-A080,Merchant cohort 080,True,activated,
PIN-A081,Merchant cohort 081,True,activated,
PIN-A082,Merchant cohort 082,True,activated,
PIN-A083,Merchant cohort 083,True,activated,
PIN-A084,Merchant cohort 084,True,activated,
PIN-A085,Merchant cohort 085,True,activated,
PIN-A086,Merchant cohort 086,True,activated,
PIN-A087,Merchant cohort 087,True,activated,
PIN-A088,Merchant cohort 088,True,activated,
PIN-A089,Merchant cohort 089,True,activated,
PIN-A090,Merchant cohort 090,True,activated,
PIN-A091,Merchant cohort 091,True,activated,
PIN-A092,Merchant cohort 092,True,activated,
PIN-A093,Merchant cohort 093,True,activated,
PIN-A094,Merchant cohort 094,True,activated,
PIN-A095,Merchant cohort 095,True,activated,
PIN-A096,Merchant cohort 096,True,activated,
PIN-A097,Merchant cohort 097,True,activated,
PIN-A098,Merchant cohort 098,True,activated,
PIN-A099,Merchant cohort 099,True,activated,
PIN-A100,Merchant cohort 100,True,activated,
PIN-A101,Merchant cohort 101,True,activated,
PIN-A102,Merchant cohort 102,True,activated,
PIN-A103,Merchant cohort 103,True,activated,
PIN-A104,Merchant cohort 104,True,activated,
PIN-A105,Merchant cohort 105,True,activated,
PIN-A106,Merchant cohort 106,True,activated,
PIN-A107,Merchant cohort 107,True,activated,
PIN-A108,Merchant cohort 108,True,activated,
PIN-A109,Merchant cohort 109,True,activated,
PIN-A110,Merchant cohort 110,True,activated,
PIN-A111,Merchant cohort 111,True,activated,
PIN-A112,Merchant cohort 112,True,activated,
PIN-A113,Merchant cohort 113,True,activated,
PIN-A114,Merchant cohort 114,True,activated,
PIN-A115,Merchant cohort 115,True,activated,
PIN-A116,Merchant cohort 116,True,activated,
PIN-A117,Merchant cohort 117,True,activated,
PIN-A118,Merchant cohort 118,True,activated,
PIN-A119,Merchant cohort 119,True,activated,
PIN-A120,Merchant cohort 120,True,activated,
PIN-A121,Merchant cohort 121,True,activated,
PIN-A122,Merchant cohort 122,True,activated,
PIN-A123,Merchant cohort 123,True,activated,
PIN-A124,Merchant cohort 124,True,activated,
PIN-A125,Merchant cohort 125,True,activated,
PIN-A126,Merchant cohort 126,True,activated,
PIN-A127,Merchant cohort 127,True,activated,
PIN-A128,Merchant cohort 128,True,activated,
PIN-A129,Merchant cohort 129,True,activated,
PIN-A130,Merchant cohort 130,True,activated,
PIN-A131,Merchant cohort 131,True,activated,
PIN-A132,Merchant cohort 132,True,activated,
PIN-A133,Merchant cohort 133,True,activated,
PIN-A134,Merchant cohort 134,True,activated,
PIN-A135,Merchant cohort 135,True,activated,
PIN-A136,Merchant cohort 136,True,activated,
PIN-A137,Merchant cohort 137,True,activated,
PIN-A138,Merchant cohort 138,True,activated,
PIN-A139,Merchant cohort 139,True,activated,
PIN-A140,Merchant cohort 140,True,activated,
PIN-A141,Merchant cohort 141,True,activated,
PIN-A142,Merchant cohort 142,True,activated,
PIN-A143,Merchant cohort 143,True,activated,
PIN-A144,Merchant cohort 144,True,activated,
PIN-A145,Merchant cohort 145,True,activated,
PIN-A146,Merchant cohort 146,True,activated,
PIN-A147,Merchant cohort 147,True,activated,
PIN-A148,Merchant cohort 148,True,activated,
PIN-A149,Merchant cohort 149,True,activated,
PIN-A150,Merchant cohort 150,True,activated,
PIN-A151,Merchant cohort 151,True,activated,
PIN-A152,Merchant cohort 152,True,activated,
PIN-A153,Merchant cohort 153,True,activated,
PIN-A154,Merchant cohort 154,True,activated,
PIN-A155,Merchant cohort 155,True,activated,
PIN-A156,Merchant cohort 156,True,activated,
PIN-A157,Merchant cohort 157,True,activated,
PIN-A158,Merchant cohort 158,True,activated,
PIN-A159,Merchant cohort 159,True,activated,
PIN-A160,Merchant cohort 160,True,activated,
PIN-A161,Merchant cohort 161,True,activated,
PIN-A162,Merchant cohort 162,True,activated,
PIN-A163,Merchant cohort 163,True,activated,
PIN-A164,Merchant cohort 164,True,activated,
PIN-A165,Merchant cohort 165,True,activated,
PIN-A166,Merchant cohort 166,True,activated,
PIN-A167,Merchant cohort 167,True,activated,
PIN-A168,Merchant cohort 168,True,activated,
PIN-A169,Merchant cohort 169,True,activated,
PIN-A170,Merchant cohort 170,True,activated,
PIN-A171,Merchant cohort 171,True,pending,
PIN-A172,Merchant cohort 172,True,pending,
PIN-A173,Merchant cohort 173,True,pending,
PIN-A174,Merchant cohort 174,True,pending,
PIN-A175,Merchant cohort 175,True,pending,
PIN-A176,Merchant cohort 176,True,pending,
PIN-A177,Merchant cohort 177,True,pending,
PIN-A178,Merchant cohort 178,True,pending,
PIN-A179,Merchant cohort 179,True,pending,
PIN-A180,Merchant cohort 180,True,pending,
PIN-A181,Merchant cohort 181,True,pending,
PIN-A182,Merchant cohort 182,True,pending,
PIN-A183,Merchant cohort 183,True,pending,
PIN-A184,Merchant cohort 184,True,pending,
PIN-A185,Merchant cohort 185,True,pending,
PIN-A186,Merchant cohort 186,True,pending,
PIN-A187,Merchant cohort 187,True,pending,
PIN-A188,Merchant cohort 188,True,pending,
PIN-A189,Merchant cohort 189,True,pending,
PIN-A190,Merchant cohort 190,True,pending,
PIN-A191,Merchant cohort 191,True,pending,
PIN-A192,Merchant cohort 192,True,pending,
PIN-A193,Merchant cohort 193,True,pending,
PIN-A194,Merchant cohort 194,True,pending,
PIN-A195,Merchant cohort 195,True,pending,
PIN-A196,Merchant cohort 196,True,pending,
PIN-A197,Merchant cohort 197,True,pending,
PIN-A198,Merchant cohort 198,True,pending,
PIN-A199,Merchant cohort 199,True,pending,
PIN-A200,Merchant cohort 200,True,pending,
PIN-A201,Merchant cohort 201,True,pending,
PIN-A202,Merchant cohort 202,True,pending,
PIN-A203,Merchant cohort 203,True,pending,
PIN-A204,Merchant cohort 204,True,pending,
PIN-A205,Merchant cohort 205,True,pending,
PIN-A206,Merchant cohort 206,True,pending,
PIN-A207,Merchant cohort 207,True,pending,
PIN-A208,Merchant cohort 208,True,pending,
PIN-A209,Merchant cohort 209,True,pending,
PIN-A210,Merchant cohort 210,True,pending,
PIN-A211,Merchant cohort 211,True,pending,
PIN-A212,Merchant cohort 212,True,pending,
PIN-A213,Merchant cohort 213,True,pending,
PIN-A214,Merchant cohort 214,True,pending,
PIN-A215,Merchant cohort 215,True,pending,
PIN-A216,Merchant cohort 216,True,pending,
PIN-A217,Merchant cohort 217,True,pending,
PIN-A218,Merchant cohort 218,True,pending,
PIN-A219,Merchant cohort 219,True,pending,
PIN-A220,Merchant cohort 220,True,pending,
PIN-A221,Merchant cohort 221,True,pending,
PIN-A222,Merchant cohort 222,True,pending,
PIN-A223,Merchant cohort 223,True,pending,
PIN-A224,Merchant cohort 224,True,pending,
PIN-A225,Merchant cohort 225,True,pending,
PIN-A226,Merchant cohort 226,True,pending,
PIN-A227,Merchant cohort 227,True,pending,
PIN-A228,Merchant cohort 228,True,pending,
PIN-A229,Merchant cohort 229,True,pending,
PIN-A230,Merchant cohort 230,True,pending,
PIN-A231,Merchant cohort 231,True,pending,
PIN-A232,Merchant cohort 232,True,pending,
PIN-A233,Merchant cohort 233,True,pending,
PIN-A234,Merchant cohort 234,True,pending,
PIN-A235,Merchant cohort 235,True,pending,
PIN-A236,Merchant cohort 236,True,pending,
PIN-A237,Merchant cohort 237,True,pending,
PIN-A238,Merchant cohort 238,True,pending,
PIN-A239,Merchant cohort 239,True,pending,
PIN-A240,Merchant cohort 240,True,pending,
PIN-A241,Merchant cohort 241,True,pending,
PIN-A242,Merchant cohort 242,True,pending,
PIN-A243,Merchant cohort 243,True,pending,
PIN-A244,Birch Books,True,pending,PIN-M1
PIN-A245,Copper Coffee,True,pending,PIN-M2
PIN-A246,Poppy Goods,True,pending,PIN-M3
PIN-A247,Juniper Bikes,True,pending,PIN-M4
PIN-A248,Fern Market,True,pending,PIN-M5
PIN-A249,Oak Paper,True,pending,PIN-M6
PIN-A250,Willow Studio,True,pending,PIN-M7
